Provider CCN,Hospital Name,State Code,Region,Region Numeric,Rural Versus Urban,RvU Numeric,CCN Facility Type,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Inpatient Revenue,Outpatient Revenue,Net Income,Net Revenue from Medicaid,Medicaid Charges
260190,LEES SUMMIT MEDICAL CENTER,MO,MW,4,U,1,STH,4308547,6399682,5380635,7498884,292664510,376322740,668987250,292660123,376327128,9565107,3973422,41077044
260191,BARNES JEWISH ST. PETERS HOSPITAL,MO,MW,4,U,1,STH,2476447,11250075,6218853,7028355,157896353,310720078,468616431,157823288,316602370,14060281,2984300,16982636
260193,ST MARYS MEDICAL CENTER,MO,MW,4,U,1,STH,124768,21628299,6220079,6220079,272775819,194662528,467438347,271978872,195459474,10528530,3074564,28242963
260195,CITIZENS MEMORIAL HOSPITAL DISTRICT,MO,MW,4,R,2,STH,475306,14486804,5633876,12287078,72293914,297536549,369830463,74023003,351525453,-1132125,6705014,41086274
260214,BELTON REGIONAL MEDICAL CENTER,MO,MW,4,U,1,STH,6128644,9800905,7407140,7581611,209899721,383824983,593724704,210397865,383326838,13210793,5420113,51942140
260216,ST. LUKES EAST - LEES SUMMIT,MO,MW,4,U,1,STH,3821965,24364631,8414144,9447934,785698594,707328449,1493027043,788766704,730129592,48137943,9979181,79366474
280111,COLUMBUS COMMUNITY HOSPITAL,NE,MW,4,R,2,STH,139658,5850229,4097329,7742334,42047282,102930174,144977456,42047282,129998038,7030226,1467239,10281199
280127,LINCOLN SURGICAL HOSPITAL,NE,MW,4,U,1,STH,25245,583235,310240,880505,34201003,113588521,147789524,34202983,115910791,13425018,1399529,5350810
280129,NEBRASKA ORTHOPAEDIC HOSPITAL LLC,NE,MW,4,U,1,STH,125337,2310366,2891109,3192877,61341658,127648214,188989872,61341658,127648213,10914649,1740231,5524814
280133,NEBRASKA SPINE HOSPITAL,NE,MW,4,U,1,STH,6986,739473,158812,158812,142633137,29260531,171893668,142633137,29260530,27082876,1818076,6811429
300011,ST. JOSEPH HOSPITAL,NH,NE,3,U,1,STH,386283,8227474,2994258,6688722,167412732,391644522,559057254,167412728,451647045,18904671,6127678,32631377
310012,THE VALLEY HOSPITAL,NJ,NE,3,U,1,STH,4503822,23179175,10910813,20527392,1331878137,1213381850,2545259987,1346843978,1252510595,125455956,8890451,78256363
320001,UNIVERSITY OF NEW MEXICO HOSPITAL,NM,SW,2,R,2,STH,10815376,39040113,31759437,31759437,1041904099,1118287724,2160191823,1041904099,1118287724,97900732,464315049,729454242
320065,LEA REGIONAL HOSPITAL,NM,SW,2,R,2,STH,2025450,10178573,4162399,6039794,89531270,147584138,237115408,89531270,147584138,96076,10834496,81808950
330163,EASTERN NIAGARA HOSPITAL,NY,NE,3,U,1,STH,78283,2805035,1215196,6311099,74708654,93946750,168655404,74868836,93689258,-9654527,9594726,43392789
330182,ST. FRANCIS HOSPITAL,NY,NE,3,U,1,STH,1197125,9459561,10035807,25792097,2196064548,1391835337,3587899885,2196064542,1391835353,213723000,14452418,164103898
330273,PUTNAM HOSPITAL CENTER,NY,NE,3,U,1,STH,1625319,1603909,2409736,7545379,142334917,182165635,324500552,142095711,182404841,-1776000,6368378,35224836
330406,SUNNYVIEW HOSPITAL REHABILITATION CE,NY,NE,3,U,1,STH,83325,363288,979751,3471582,103429010,20423378,123852388,103430645,23866134,3535783,3201298,12727934
370015,HILLCREST HOSPITAL PRYOR,OK,SW,2,R,2,STH,1299760,4556186,2230844,3043118,18443533,110920104,129363637,18443532,110920105,4011686,1966761,15248667
370158,PURCELL MUNICIPAL HOSPITAL,OK,SW,2,U,1,STH,1283,3606425,912661,989600,4693991,31386289,36080280,4919309,31227004,-724346,833733,3658568
370199,LAKESIDE WOMENS HOSPITAL,OK,SW,2,U,1,STH,175077,604957,368877,779984,45929282,80722716,126651998,46850041,82044398,5271362,1332801,10331931
370227,ST. JOHN OWASSO,OK,SW,2,U,1,STH,2195113,4332509,3894906,4084473,23082155,97020365,120102520,23082155,97020367,4477433,1994534,13234923
390032,ALLE-KISKI MEDICAL CENTER,PA,NE,3,U,1,STH,453842,1999622,1197351,4785604,127509529,256277331,383786860,127509529,256277330,-12106027,6194433,48404270
390072,BERWICK HOSPITAL CENTER,PA,NE,3,U,1,STH,177547,2290724,539232,2549925,105385479,150035161,255420640,105385479,150035161,4494844,1418083,27848391
390084,SUNBURY COMMUNITY HOSPITAL,PA,NE,3,R,2,STH,186598,1962481,773584,1435262,15196086,41857269,57053355,14211481,41614387,-5447905,1127545,12247355
390104,UPMC KANE,PA,NE,3,R,2,STH,48133,965965,481898,481898,4622450,38073601,42696051,4962475,46541985,-1015334,930935,
390112,WINDBER HOSPITAL  INC.,PA,NE,3,R,2,STH,2991,1600359,752408,2122848,23970280,90584170,114554450,21719125,91190641,3609780,2267008,12999242
390123,POTTSTOWN MEMORIAL MEDICAL CENTER,PA,NE,3,U,1,STH,156090,23049105,5102261,5102261,465072207,441981957,907054164,465082072,443604454,-82812734,24613545,29896789
390139,BRYN MAWR HOSPITAL,PA,NE,3,R,2,STH,1756618,9282475,5024388,12027080,834281452,548080268,1382361720,834281452,548080267,-15025626,8639248,75057294
390160,CANONSBURG GENERAL HOSPITAL,PA,NE,3,U,1,STH,129844,1098396,472441,1575557,49879612,128597750,178477362,49867529,128609832,-2240384,1810153,14966925
390222,RIDDLE HOSPITAL,PA,NE,3,U,1,STH,1727101,8447236,3976027,9475103,630806225,366776319,997582544,630806225,366776319,-16913695,9388254,79274368
390267,FORBES REGIONAL HOSPITAL,PA,NE,3,U,1,STH,581489,3570029,1657193,4759249,548270672,522718422,1070989094,548270673,522718422,101010,14527057,111906580
390327,WELLSPAN SURGERY AND REHAB HOSPITAL,PA,NE,3,U,1,STH,99105,2084464,1142566,7494828,84949223,90100222,175049445,84949224,90100222,9460200,2582943,21108439
410013,THE WESTERLY HOSPITAL,RI,NE,3,U,1,STH,888598,1821678,1822367,4769394,65123673,172261461,237385134,66099064,177117550,301629,5451216,33460336
420080,HILTON HEAD HOSPITAL,SC,SE,1,U,1,STH,3564735,17413348,5945714,7125640,402005068,347966593,749971661,402317454,347972782,42396427,6135351,48090667
420089,EAST COOPER REGIONAL MEDICAL CENTER,SC,SE,1,U,1,STH,2734553,7994738,4077195,6705350,438733706,332966249,771699955,438999475,329160788,33135496,4150479,31231624
430013,AVERA QUEEN OF PEACE,SD,MW,4,R,2,STH,760932,5101262,2302701,3622493,62878762,179390196,242268958,65111219,206821838,48667,2684150,15139954
430014,AVERA ST. LUKES,SD,MW,4,R,2,STH,989611,8632923,3852549,5326465,139042133,321333884,460376017,145048645,365708922,-2086420,3450882,16916641
430089,SIOUXLAND SURGERY CENTER,SD,MW,4,U,1,STH,9629,1326181,382223,475663,98201927,210609153,308811080,98201927,210609153,41079025,5540783,33283062
450002,THE HOSPITALS OF PROVIDENCE - MEMORI,TX,SW,2,U,1,STH,7214836,17768538,9251235,9844222,1228403398,1057815646,2286219044,1234374822,955735203,18376449,51015425,520413535
450021,BAYLOR UNIVERSITY MEDICAL CTR,TX,SW,2,U,1,STH,71842327,132989182,112782267,112834250,2177701930,866194591,3043896521,2174955510,857504090,262092716,47432982,218392309
450054,SCOTT AND WHITE MEMORIAL HOSPITAL,TX,SW,2,U,1,STH,54073059,57628922,76410934,77321490,1786464823,2542744485,4329209308,1785743145,3651985249,117774342,108876215,501192899
450068,MEMORIAL HERMANN TEXAS MEDICAL CNTR,TX,SW,2,U,1,STH,89797734,131124870,135788200,140148804,4824065632,2410074032,7234139664,4877581333,2461065141,90036727,241488681,1429712101
450087,MEDICAL CITY NORTH HILLS,TX,SW,2,U,1,STH,12590942,16678803,14412914,14442570,660847397,415520454,1076367851,660847397,415520454,12984429,3177343,47997568
450101,HILLCREST BAPTIST MEDICAL CENTER,TX,SW,2,R,2,STH,18994928,34740071,30151409,30556530,513126436,673278085,1186404521,478530556,653253434,4492262,25906091,151120807
450130,NIX HEALTH CARE SYSTEM,TX,SW,2,U,1,STH,12035633,8083432,21037173,215979784,219807706,81100747,300908453,216388467,84540254,-68792922,7679439,556606768
450133,MIDLAND MEMORIAL HOSPITAL,TX,SW,2,U,1,STH,19548065,32599429,26164552,28390906,451241071,656963401,1108204472,459696204,666239479,7153590,14160000,93674802
450162,GRACE MEDICAL CENTER,TX,SW,2,U,1,STH,1643218,2823676,5280755,6539583,63734299,196223756,259958055,63734298,196223757,13146627,911811,9876000
450165,METHODIST HOSPITAL SOUTH,TX,SW,2,U,1,STH,4769075,7419468,5720632,5720632,72034582,197133048,269167630,72034582,197133048,-3527095,4415618,42555125
450253,BELLVILLE GENERAL HOSPITAL,TX,SW,2,U,1,STH,511484,1438585,1138852,1169848,2405179,28235477,30640656,2405179,28235477,-614386,36839,171103
450299,COLLEGE STATION MEDICAL CENTER,TX,SW,2,U,1,STH,3920584,2608815,4634723,4732148,180730047,263668684,444398731,180730047,263668684,12137521,2284921,35656066
450340,SAN ANGELO COMMUNITY MEDICAL CENTER,TX,SW,2,U,1,STH,4100418,28992109,7633442,7916082,309151590,480727389,789878979,308682071,539506427,-696679,4555943,58068378
450372,BAYLOR SW MEDICAL CENTER- WAXAHACHIE,TX,SW,2,U,1,STH,12164739,30258182,22887763,22949583,262361494,465935921,728297415,256408917,471965822,22139528,6115996,39639408
450460,TYLER COUNTY HOSPITAL,TX,SW,2,R,2,STH,1498300,2267732,2794360,2794360,2187469,14626162,16813631,2187469,14626162,4680083,573742,1539914
450498,STEPHENS MEMORIAL HOSPITAL,TX,SW,2,R,2,STH,1133278,561948,1299146,1386485,4552074,36799499,41351573,4552074,37386528,-51090,302216,1354835
450584,WILBARGER GENERAL HOSPITAL,TX,SW,2,R,2,STH,549818,6086348,2814533,5405099,8816780,36203170,45019950,8881962,38962575,-546537,767789,9021918
450641,NOCONA GENERAL HOSPITAL,TX,SW,2,R,2,STH,647170,1092656,1306654,2591461,4943629,15874724,20818353,4939453,15903826,2289995,133928,2729930
450653,SCENIC MOUNTAIN MEDICAL CENTER,TX,SW,2,R,2,STH,2430728,,2430728,2494752,50956112,99120593,150076705,50956112,99120593,3130417,2689890,18657873
450684,MEMORIAL HERMANN NORTHEAST,TX,SW,2,U,1,STH,27690600,55719365,38708078,38751711,561257833,839344292,1400602125,564225003,850134639,28920277,24661014,177591958
450688,DALLAS REGIONAL MEDICAL CENTER,TX,SW,2,U,1,STH,5862895,71759089,13129511,14983848,438337839,325895086,764232925,438337840,325895085,7443396,11580194,134589795
450709,HOUSTON METHODIST ST. JOHN HOSPITAL,TX,SW,2,U,1,STH,9877993,12713843,11856504,11871770,498749845,707961753,1206711598,499106444,707961753,25821615,7945243,61495152
450747,PALESTINE REGIONAL MEDICAL CENTER,TX,SW,2,R,2,STH,628410,31703954,4577462,4577462,164843114,241651131,406494245,164913113,250242848,3718862,6410688,53071484
450804,TEXAS ORTHOPEDIC HOSPITA,TX,SW,2,U,1,STH,338308,2522977,632690,632690,566875758,533553590,1100429348,566875758,533553590,91896740,2568759,20806654
450827,KELL WEST REGIONAL HOSPITAL,TX,SW,2,U,1,STH,141833,2892182,1065938,1753102,39440476,62361775,101802251,33892827,68483513,178190,657678,4225674
450833,ENNIS REGIONAL MEDICAL CENTER,TX,SW,2,U,1,STH,888716,9367714,2240371,2385165,29511552,103922200,133433752,29511552,105443043,-2292208,1200962,16088903
450860,MEMORIAL HERMANN FIRST COLONY,TX,SW,2,U,1,STH,1274,795162,188083,353150,25035615,102692151,127727766,25035615,102692151,6718663,195246,1558846
450864,TEXAS SPINE AND JOINT HOSPITAL,TX,SW,2,U,1,STH,250951,6774311,1838466,3463400,139985694,438399147,578384841,139985694,447510558,30694768,1115662,19929722
450872,USMD HOSPITAL OF ARLINGTON,TX,SW,2,U,1,STH,185628,9281545,4908698,6007326,60941728,162629673,223571401,60941726,162629671,7155719,493286,5309762
450874,BAYLOR SURGICAL HOSPITAL LAS COLINAS,TX,SW,2,U,1,STH,51705,2872988,934890,980379,64570292,95186865,159757157,64570292,95186865,26288068,19918,220459
450875,PHYSICIANS SURGICAL HOSPITAL,TX,SW,2,U,1,STH,339178,2383072,1382939,1977668,118692167,147176090,265868257,118692167,147176091,34467312,209883,3445111
450876,LUBBOCK HEART HOSPITAL,TX,SW,2,U,1,STH,244282,,244282,298941,115874243,221444635,337318878,115872422,221446457,3165673,177718,932983
450885,CENTENNIAL MEDICAL CENTER,TX,SW,2,U,1,ORD,3848419,18228009,8976180,8993318,173264034,145264801,318528835,170424338,148074715,-4316831,1128052,8999172
450888,SOUTHLAKE SPECIALITY HOSPITAL,TX,SW,2,U,1,ORD,40440,2160562,693159,885148,68739470,137541939,206281409,68728949,137562929,14736861,70135,264664
450890,BAYLOR S&W MEDICAL CENTER - PLANO,TX,SW,2,U,1,ORD,5203889,13062680,9241406,9249105,329753406,304709714,634463120,329252845,300904727,100522465,986422,9135140
450893,THE HEART HOSPITAL BAYLOR DENTON,TX,SW,2,U,1,ORD,779065,2410674,1415399,1415399,67994659,105151880,173146539,68166940,105282459,10940268,64118,466068
451345,CROSBYTON CLINIC HOSPITAL,TX,SW,2,R,2,CAH,321085,227061,505213,667392,495242,5407464,5902706,608187,5407464,-684976,267732,493860
460047,ST MARKS HOSPITAL,UT,W,5,U,1,STH,9764013,14235105,12409381,12409381,941991783,772407351,1714399134,947191770,757588803,155444802,48172560,199098000
460060,LONE PEAK HOSPITAL,UT,W,5,U,1,STH,1621240,3167073,2371043,2371043,92005202,198973046,290978248,92005202,198973046,22536596,2783878,15698000
490067,SOUTHSIDE REGIONAL MEDICAL CENTER,VA,SE,1,U,1,STH,3173153,35815598,6741842,13162111,847626754,910479088,1758105842,847626754,910479088,14314201,23995005,345985889
490097,SOUTHERN VIRGINIA REGIONAL MED. CTR.,VA,SE,1,R,2,STH,461475,6033424,1083728,1159010,53685070,133495436,187180506,53685070,133495436,-9455532,2892692,44846503
491302,CARILION GILES COMMUNITY HOSPITAL,VA,SE,1,U,1,CAH,612964,3445579,1667753,2782062,21073489,80954100,102027589,21054064,81053103,-4677060,1982406,11507092
500012,YAKIMA REGIONAL MEDICAL & CARDIAC CE,WA,W,5,U,1,STH,671588,1806079,3194912,3420380,216225057,303412616,519637673,216358922,351382602,-31556159,2308041,20747329
500139,CAPITAL MEDICAL CENTER,WA,W,5,U,1,STH,842772,1700002,2518630,4434133,295527103,336443506,631970609,295527103,361618216,-7018669,13206768,113414727
520027,ASCENSION COLUMBIA ST MARYS OZAUKEE,WI,MW,4,U,1,STH,981482,5242624,2797827,5552536,178590695,315785247,494375942,178590695,350953915,-4211696,2996542,27332655
520063,ST. JOSEPHS COMM. HOSPT.,WI,MW,4,U,1,STH,295742,5338563,2636565,7390473,163159038,308165253,471324291,161780835,311164460,-1959328,5983693,34160608
520160,THEDACARE REGIONAL MEDICAL CENTER AP,WI,MW,4,U,1,STH,650378,1652402,3112577,8068898,239856823,490626975,730483798,242658849,487824949,69923384,11259211,51219014
520194,ORTHOPAEDIC HOSPITAL OF WISCONSIN,WI,MW,4,U,1,STH,100061,474245,222100,1399950,78759196,108734000,187493196,78759196,108733999,36017823,2012147,14303956
520206,AURORA MEDICAL CENTER - SUMMIT,WI,MW,4,U,1,STH,1079121,4433475,2166689,7040512,165285885,293500321,458786206,165285886,293500319,38341245,2788174,32139382
520207,AURORA MEDICAL CENTER GRAFTON,WI,MW,4,U,1,STH,1398591,6779472,2925583,13754132,384679677,525114100,909793777,380717194,529266165,48941782,2508937,61801699
670025,THE HEART HOSPITAL BAYLOR PLANO,TX,SW,2,U,1,STH,6221583,9891643,8654582,8699623,685583923,503912544,1189496467,690112581,484047832,99125425,859764,8615075
670031,ST. LUKES PATIENTS MEDICAL CENTER,TX,SW,2,U,1,STH,2766506,11838008,5203944,5203944,160598337,254392498,414990835,160392632,254598203,4566557,1277661,13622301
670034,ROUND ROCK HOSPITAL,TX,SW,2,U,1,STH,10166676,21492752,18262115,18323714,472630487,1023618002,1496248489,471669255,1295751498,-446151929,6738350,42953158
670046,USMD HOSPITAL AT FORT WORTH,TX,SW,2,U,1,STH,15530,100678,794667,1069116,13158296,48130439,61288735,13158296,48130438,-1834327,944271,2669263
670049,NORTH CENTRAL SURGICAL HOSPITAL,TX,SW,2,U,1,STH,47481,2459555,831850,832149,82513925,163606880,246120805,82513925,163606880,37321156,2143,8344
670067,BAYLOR ORTHOPEDIC AND SPINE HOSPITAL,TX,SW,2,U,1,STH,608042,1378664,1059769,1074211,116246261,172170070,288416331,116246261,172170070,47869133,168,75973
670107,BEMC BURLESON,TX,SW,2,U,1,STH,69448,,246936,2118787,10148856,115898988,126047844,10119965,115998787,2992688,1366483,18474888
670110,FIRST TEXAS HOSPITAL CARROLLTON LLC,TX,SW,2,U,1,STH,235791,22296255,13711183,16367875,3493031,32839574,36332605,3495408,32837199,-17263334,1944765,7723118
670115,CLEVELAND EMERGENCY HOSPITAL,TX,SW,2,U,1,STH,5763,,5763,5763,42965252,385478254,428443506,34985278,580536485,3844093,303093,
670118,FIRST TEXAS HOSPITAL CY FAIR  LLC,TX,SW,2,U,1,STH,69853,35284264,7592683,8448157,10648270,360235109,370883379,10648268,360235110,-38073644,321134,6059054
670122,HOUSTON METHODIST THE WOODLANDS,TX,SW,2,U,1,STH,12032875,13050359,14337803,14355966,837962647,963614831,1801577478,838343059,963623345,78699101,3440456,33917971
110198,NORTH FULTON REGIONAL HOSPITAL,GA,SE,1,U,1,STH,15902658,18346955,20862415,24114708,459481458,383292818,842774276,465386493,377720012,11307761,5298591,57824237
250036,GEORGE COUNTY HOSPITAL,MS,SE,1,R,2,STH,1242545,84748,1702182,1720803,13553286,43233663,56786949,15307543,49822069,2507227,7014198,11714102
300001,CONCORD HOSPITAL  INC.,NH,NE,3,U,1,STH,8154058,18527275,15200183,19120544,578855471,722426051,1301281522,570029328,903255257,2271469,12789163,110328200
300003,MARY HITCHCOCK MEMORIAL HOSP,NH,NE,3,R,2,STH,7813068,34169060,27603952,107493430,1229349514,1800338094,3029687608,1227157917,1800630194,-16044476,73575155,439461337
320030,ARTESIA GENERAL HOSPITAL,NM,SW,2,R,2,STH,210607,8301458,3018867,3110843,40466531,111779738,152246269,40199102,134223683,3660251,10172447,33804694
370178,ADAIR COUNTY HEALTH CENTER,OK,SW,2,R,2,STH,2743,333321,124591,2095748,12179005,12895640,25074645,12179005,17085868,-2673013,1364034,5642175
450143,ASCENSION SETON SMITHVILLE,TX,SW,2,U,1,STH,938688,2563122,1684962,2209880,6619748,45548026,52167774,6624906,45548718,-5957152,691274,4504751
470001,CENTRAL VERMONT HOSPITAL,VT,NE,3,R,2,STH,919450,5638031,4208022,18059290,87292087,263185943,350478030,113069418,305081942,-2035343,7954334,50061919
470005,RUTLAND REGIONAL MEDICAL CENTER,VT,NE,3,R,2,STH,1552778,7559798,7077765,13613533,191844692,288255592,480100284,219628445,347396162,1172126,22582191,72697045
501307,ODESSA MEMORIAL HOSPITAL,WA,W,5,R,2,CAH,9956,59068,82521,1732468,2650938,2923917,5574855,2650938,3332152,766717,1553223,2107927
70025,HARTFORD HOSPITAL,CT,NE,3,R,2,STH,13155083,26165132,23321497,23321497,2323932034,1336846661,3660778695,2392263604,1428670087,83819139,185197061,705023329
140049,WEST SUBURBAN HOSP MED CTR,IL,MW,4,U,1,STH,6156223,8293978,7813754,32676308,436100406,473162662,909263068,436100406,479449750,-27996251,29415059,318813574
140053,ST. JOHNS HOSPITAL,IL,MW,4,U,1,STH,5709694,12448559,10835533,10835533,1087290121,854835518,1942125639,1110313814,897875459,-28796783,82068808,82068808
140082,LOUIS A. WEISS MEMORIAL HOSPITAL,IL,MW,4,R,2,STH,3758761,4653685,5009280,13505919,308327840,221449039,529776879,307616415,223090325,-25976121,15998164,146505933
140145,ST. JOSEPHS HOSPITAL,IL,MW,4,U,1,STH,543871,1555629,1674936,5128156,23024865,106339156,129364021,23634100,109748478,-1349613,1253459,13602294
181317,CUMBERLAND COUNTY HOSPITAL,KY,SE,1,R,2,CAH,70630,937821,622812,1583700,5878169,19782941,25661110,6130131,27283532,-1289775,2510187,5598341
181319,BRECKINRIDGE HEALTH  INC,KY,SE,1,R,2,CAH,44887,1258661,553069,553069,11258795,37595031,48853826,11292280,38686266,702885,3426751,9103258
240064,GRAND ITASCA CLINIC AND HOSPITAL,MN,MW,4,R,2,STH,944139,2479825,1969689,6072746,47773753,175417148,223190901,47439049,211222416,4085808,10918532,43921490
240069,OWATONNA HOSPITAL,MN,MW,4,R,2,STH,526855,3320839,1808965,2545539,55871628,79484763,135356391,55866032,80065612,3441467,1209981,5454056
240075,ST. JOSEPHS MEDICAL CENTER,MN,MW,4,R,2,STH,1417009,3521695,3947046,8055564,125509082,298675716,424184798,135537069,417779178,11742465,19476701,65675950
240076,BUFFALO HOSPITAL,MN,MW,4,U,1,STH,647238,3178682,2235354,2789251,52577290,139928213,192505503,53378047,147783655,8385037,994998,4369559
240084,ESSENTIA HEALTH VIRGINIA,MN,MW,4,U,1,STH,1104291,1132815,2382061,10779358,40468854,134634683,175103537,44151101,192396202,-3256899,8882248,31557124
240088,CARRIS HEALTH,MN,MW,4,R,2,STH,567009,1057449,1232205,6394751,72826472,186936445,259762917,72226472,187536445,7068843,18571995,54232033
240093,MCHS - SOUTHWEST MINNESOTA REGION,MN,MW,4,U,1,STH,1512905,19085672,9108490,19271526,306149521,407939103,714088624,306149521,675490012,5949737,25253435,97459717
240141,FAIRVIEW NORTHLAND REG,MN,MW,4,U,1,STH,824037,2485575,1970105,3334582,43660215,157918234,201578449,44892818,168367768,5487853,8751049,33526425
240166,MAYO CLINIC HEALTH SYSTEM-FAIRMONT,MN,MW,4,R,2,STH,545170,4366515,2918226,8043785,27655165,100655302,128310467,70716591,99444370,-7599851,7645883,25709378
240187,HUTCHINSON HEALTH CARE,MN,MW,4,U,1,STH,51049,1114681,751855,3869768,36197891,99831948,136029839,37105198,130464410,3818400,5990001,18943012
300018,WENTWORTH DOUGLASS HOSPITAL,NH,NE,3,U,1,STH,2243961,18721459,8251155,9365975,283908324,884182220,1168090544,276723352,891809939,3559024,17526208,107368788
330009,BRONXCARE HEALTH SYSTEM,NY,NE,3,U,1,STH,32922738,72979165,73978268,73978268,553474432,477944897,1031419329,553474432,477943897,15396259,404773407,552371960
330044,FAXTON-ST. LUKES HEALTHCARE,NY,NE,3,U,1,STH,73732,5183072,2466025,12776259,398326444,573165946,971492390,398326443,599032494,8389207,39504156,182157543
330058,GENEVA GENERAL HOSPITAL,NY,NE,3,U,1,STH,1144234,2753074,2341842,7250174,118717163,139070446,257787609,125466330,167691094,28316385,8772447,34842813
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTE,NY,NE,3,U,1,STH,1155118,1598745,2581046,13957449,71114459,122652184,193766643,70466026,132068302,3831069,25718865,71934126
330140,ST. JOSEPHS HOSPITAL HEALTH CENTER,NY,NE,3,U,1,STH,3240110,7787691,9236077,27350521,844990620,557169633,1402160253,861343108,585142675,4537114,74971757,262969617
330144,IRA DAVENPORT MEMORIAL HOSPITAL  INC,NY,NE,3,R,2,STH,26272,1651382,571591,2876536,24135395,50585536,74720931,24517089,50203842,-5889804,1897269,14159117
330203,CROUSE HOSPITAL,NY,NE,3,U,1,STH,696717,9790116,5727491,7325046,516042118,380926808,896968926,516042118,380926808,1613149,81579502,200000891
330211,CLAXTON HEPBURN MEDICAL CENTER,NY,NE,3,R,2,STH,246112,3287746,1538285,4501728,47608325,180657498,228265823,45331694,182935916,-5054299,12972472,35150219
330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,NY,NE,3,R,2,STH,412501,9981071,4281157,21551492,383482028,615948419,999430447,153814053,185142485,-8238968,27744335,155839761
330386,CATSKILL REGIONAL MEDICAL CENTER,NY,NE,3,R,2,STH,2601018,3527790,3774174,4722621,146538764,153196817,299735581,146538764,153197087,-6959231,13408031,76236949
330395,EPISCOPAL HEALTH SERVICES,NY,NE,3,R,2,STH,1829043,8735063,4433662,37313813,498946371,255367866,754314237,468964441,284724884,-8458898,50311226,307095681
450015,DALLAS CO. HOSP. DIST.,TX,SW,2,U,1,STH,451929621,153201590,486600826,486639337,2669375380,4528345603,7197720983,2718310425,4717008328,199626626,324785366,1942058242
450079,BAYLOR S&W MEDICAL CENTER - IRVING,TX,SW,2,U,1,STH,22442121,56964433,38485456,38706243,384797030,348303201,733100231,382904527,350149465,1591151,9141938,68953073
450154,VAL VERDE REGIONAL MEDICAL CENTER,TX,SW,2,R,2,STH,5616538,5070654,8723958,9019099,52659954,189673381,242333335,52659954,189673381,21007453,11101178,7422658
450389,UT HEATH ATHENS,TX,SW,2,U,1,STH,9411008,29786673,13399242,13860635,234821374,397060686,631882060,234701374,397180686,19890936,7936391,77319540
470003,UNIVERSITY OF VERMONT MEDICAL CENTER,VT,NE,3,U,1,STH,5500108,19771225,15645262,78262748,926818747,1462793655,2389612402,922458998,1955308000,58085185,50241902,332299228
520002,ASCENSION ST. MICHAELS HOSPITAL,WI,MW,4,R,2,STH,2016122,5369512,4863227,17329086,63574076,231311534,294885610,65489086,301783585,-7869252,9753208,48456961
520004,MCHS FRANCISCAN HEALTHCARE  INC,WI,MW,4,R,2,STH,1760578,7426299,5996522,23298626,151936193,475082372,627018565,151936193,845993759,-9010663,6807327,55883639
520009,ASCENSION NE WISCONSIN-ST. ELIZABETH,WI,MW,4,U,1,STH,3179749,12057077,8541589,12803076,278058338,513699358,791757696,283886841,530327755,30554046,26938510,95433555
520013,SACRED HEART HOSPITAL,WI,MW,4,U,1,STH,1351846,6946228,4483704,5599939,240340912,162447516,402788428,242372753,165619202,-38885479,17086042,55723416
670088,COLLEGE STATION HOSPITAL,TX,SW,2,U,1,STH,7377641,13703499,14163093,14273024,275046859,576374780,851421639,279366488,847719056,4207914,9593253,48453936
670108,BAYLOR SCOTT & WHITE - MARBLE FALLS,TX,SW,2,R,2,STH,6492347,6155270,9450289,9564471,69864432,264695844,334560276,69441883,342606214,-3946992,7425805,26977508
40027,BAXTER REGIONAL MEDICAL CENTER,AR,SE,1,R,2,STH,596879,9060248,4037934,8042326,275659113,398103227,673762340,278980029,440452143,11380461,6220863,48902224
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM,IL,MW,4,U,1,STH,15388747,30378710,31103500,58214548,1954313264,3061654255,5015967519,1903540902,3548715274,12422261,70738395,391858596
140116,NORTHERN ILLINOIS MEDICAL CENTER,IL,MW,4,U,1,STH,7234747,32524340,16448929,28675019,806781482,1056821205,1863602687,806781482,1078734967,-47567905,35659188,213182201
140289,ANDERSON HOSPITAL,IL,MW,4,U,1,STH,1999634,5888748,4924541,6423592,205057982,431336242,636394224,205057982,431336242,33253341,14699872,97733129
200001,ST JOSEPH HOSPITAL,ME,NE,3,U,1,STH,896393,9778009,4488845,5675956,127117810,214953435,342071245,127461350,275419200,2478480,10609427,40985972
230075,BRONSON BATTLE CREEK,MI,MW,4,U,1,STH,524598,14838143,6019187,6019187,239409051,436472270,675881321,239409051,436472270,-19647000,18120574,125236855
240010,MAYO CLINIC HOSPITAL ROCHESTER,MN,MW,4,U,1,STH,17312698,31466732,34203555,64022998,3690895628,3118828349,6809723977,3198745629,2515563207,949072860,132304995,475413140
240019,SMDC MEDICAL CENTER,MN,MW,4,U,1,STH,695002,2008773,2488141,20712830,80914181,362614109,443528290,123156501,798739142,-16407597,25920305,73623213
240020,CAMBRIDGE MEDICAL CENTER,MN,MW,4,U,1,STH,853244,3420198,2675059,3455075,59093521,132330434,191423955,58828578,139697469,1439860,1875221,7406950
